rental_id,rental_date,return_date,customer_lastname,store_id,rental_store_city,film_title,film_rental_duration,film_rental_rate,film_replacement_cost,film_rating
1,2005-05-24 22:53:30,2005-05-26 22:04:30,HUNTER,1,Lethbridge,BLANKET BEVERLY,7,2.99,21.99,G
2,2005-05-24 22:54:33,2005-05-28 19:40:33,COLLAZO,2,Woodridge,FREAKY POCUS,7,2.99,16.99,R
3,2005-05-24 23:03:39,2005-06-01 22:12:39,MURRELL,2,Woodridge,GRADUATE LORD,7,2.99,14.99,G
4,2005-05-24 23:04:41,2005-06-03 01:43:41,PURDY,1,Lethbridge,LOVE SUICIDES,6,0.99,21.99,R
5,2005-05-24 23:05:21,2005-06-02 04:33:21,HANSEN,2,Woodridge,IDOLS SNATCHERS,5,2.99,29.99,NC-17
6,2005-05-24 23:08:07,2005-05-27 01:32:07,CHRISTENSON,1,Lethbridge,MYSTIC TRUMAN,5,0.99,19.99,NC-17
7,2005-05-24 23:11:53,2005-05-29 20:34:53,WALTERS,2,Woodridge,SWARM GOLD,4,0.99,12.99,PG-13
8,2005-05-24 23:31:46,2005-05-27 23:33:46,ROMERO,1,Lethbridge,LAWLESS VISION,6,4.99,29.99,G
9,2005-05-25 00:00:40,2005-05-28 00:22:40,SIMPSON,1,Lethbridge,MATRIX SNOWMAN,6,4.99,9.99,PG-13
10,2005-05-25 00:02:21,2005-05-31 22:44:21,ISOM,2,Woodridge,HANGING DEEP,5,4.99,18.99,G
11,2005-05-25 00:09:02,2005-06-02 20:56:02,BURNS,1,Lethbridge,WHALE BIKINI,4,4.99,11.99,PG-13
12,2005-05-25 00:19:27,2005-05-30 05:44:27,BYRD,1,Lethbridge,GAMES BOWFINGER,7,4.99,17.99,PG-13
13,2005-05-25 00:22:55,2005-05-30 04:28:55,MCWHORTER,1,Lethbridge,KING EVOLUTION,3,4.99,24.99,NC-17
14,2005-05-25 00:31:15,2005-05-26 02:56:15,CULP,2,Woodridge,MONTEREY LABYRINTH,6,0.99,13.99,G
15,2005-05-25 00:39:22,2005-06-03 03:30:22,WEINER,1,Lethbridge,PELICAN COMFORTS,4,4.99,17.99,PG
16,2005-05-25 00:43:11,2005-05-26 04:42:11,CURLEY,1,Lethbridge,BOOGIE AMELIE,6,4.99,11.99,R
17,2005-05-25 01:06:36,2005-05-27 00:43:36,OGLESBY,2,Woodridge,CONTACT ANONYMOUS,7,2.99,10.99,PG-13
18,2005-05-25 01:10:47,2005-05-31 06:35:47,MARTINEZ,1,Lethbridge,ROMAN PUNK,7,0.99,28.99,NC-17
19,2005-05-25 01:17:24,2005-05-31 06:00:24,RICKETTS,2,Woodridge,HOLLOW JEOPARDY,7,4.99,25.99,NC-17
20,2005-05-25 01:48:41,2005-05-27 02:20:41,HARPER,2,Woodridge,SCISSORHANDS SLUMS,5,2.99,13.99,G
21,2005-05-25 01:59:46,2005-05-26 01:01:46,MORRELL,1,Lethbridge,APACHE DIVINE,5,4.99,16.99,NC-17
22,2005-05-25 02:19:23,2005-05-26 04:52:23,FORTIER,1,Lethbridge,CLOSER BANG,5,4.99,12.99,R
23,2005-05-25 02:40:21,2005-05-29 06:34:21,LOVELACE,1,Lethbridge,WHALE BIKINI,4,4.99,11.99,PG-13
24,2005-05-25 02:53:02,2005-05-27 01:15:02,FRALEY,1,Lethbridge,REDS POCUS,7,4.99,23.99,PG-13
25,2005-05-25 03:21:20,2005-05-27 21:25:20,BAKER,2,Woodridge,SUN CONFESSIONS,5,0.99,9.99,R
26,2005-05-25 03:36:50,2005-05-31 00:34:50,POULIN,1,Lethbridge,WAIT CIDER,3,0.99,9.99,PG-13
27,2005-05-25 03:41:50,2005-05-30 01:13:50,BAUGHMAN,2,Woodridge,EASY GLADIATOR,5,4.99,12.99,G
28,2005-05-25 03:42:37,2005-05-26 09:26:37,REID,1,Lethbridge,THIEF PELICAN,5,4.99,28.99,PG-13
29,2005-05-25 03:47:12,2005-05-30 00:31:12,TURNER,2,Woodridge,CHAINSAW UPTOWN,6,0.99,25.99,PG
30,2005-05-25 04:01:32,2005-05-30 03:12:32,HOULE,1,Lethbridge,SONG HEDWIG,3,0.99,29.99,PG-13
31,2005-05-25 04:05:17,2005-05-30 07:15:17,WHEAT,2,Woodridge,WITCHES PANIC,6,4.99,10.99,NC-17
32,2005-05-25 04:06:21,2005-05-25 23:55:21,GEORGE,2,Woodridge,STALLION SUNDANCE,5,0.99,23.99,PG-13
33,2005-05-25 04:18:51,2005-05-27 03:58:51,CALDWELL,1,Lethbridge,GOLDMINE TYCOON,6,0.99,20.99,R
34,2005-05-25 04:19:28,2005-05-29 00:10:28,DUGGAN,1,Lethbridge,MICROCOSMOS PARADISE,6,2.99,22.99,PG-13
35,2005-05-25 04:24:36,2005-05-27 07:02:36,VU,2,Woodridge,ENEMY ODDS,5,4.99,23.99,NC-17
36,2005-05-25 04:36:26,2005-05-29 00:31:26,HUGHES,2,Woodridge,ESCAPE METROPOLIS,7,2.99,20.99,R
37,2005-05-25 04:44:31,2005-05-29 01:03:31,ELROD,2,Woodridge,BORROWERS BEDAZZLED,7,0.99,22.99,G
38,2005-05-25 04:47:44,2005-06-01 00:58:44,SILVERMAN,1,Lethbridge,MANCHURIAN CURTAIN,5,2.99,27.99,PG
39,2005-05-25 04:51:46,2005-05-31 03:14:46,CASTILLO,1,Lethbridge,WIND PHANTOM,6,0.99,12.99,R
40,2005-05-25 05:09:04,2005-05-27 23:12:04,YEE,1,Lethbridge,MINDS TRUMAN,3,4.99,22.99,PG-13
41,2005-05-25 05:12:29,2005-06-02 00:28:29,WATKINS,2,Woodridge,GRIT CLOCKWORK,3,0.99,21.99,PG
42,2005-05-25 05:24:58,2005-05-31 02:47:58,GUAJARDO,1,Lethbridge,BOILED DARES,7,4.99,13.99,PG
43,2005-05-25 05:39:25,2005-05-26 06:54:25,RENNER,2,Woodridge,MASSAGE IMAGE,4,2.99,11.99,PG
44,2005-05-25 05:53:23,2005-05-29 10:56:23,CASTILLO,1,Lethbridge,PIRATES ROXANNE,4,0.99,20.99,PG
45,2005-05-25 05:59:39,2005-06-02 09:56:39,QUIGLEY,2,Woodridge,HARRY IDAHO,5,4.99,18.99,PG-13
46,2005-05-25 06:04:08,2005-06-02 08:18:08,MILLER,1,Lethbridge,RIDGEMONT SUBMARINE,3,0.99,28.99,PG-13
47,2005-05-25 06:05:20,2005-05-30 03:04:20,GREEN,2,Woodridge,JAWS HARRY,4,2.99,10.99,G
48,2005-05-25 06:20:46,2005-06-02 05:42:46,CASTRO,1,Lethbridge,GUN BONNIE,7,0.99,27.99,G
49,2005-05-25 06:39:35,2005-05-30 10:12:35,SANBORN,1,Lethbridge,PACIFIC AMISTAD,3,0.99,27.99,G
50,2005-05-25 06:44:53,2005-05-28 11:28:53,GARCIA,2,Woodridge,HOPE TOOTSIE,4,2.99,22.99,NC-17
51,2005-05-25 06:49:10,2005-05-26 06:42:10,HOLLAND,1,Lethbridge,ELF MURDER,4,4.99,19.99,NC-17
52,2005-05-25 06:51:29,2005-05-31 01:27:29,RHOADS,1,Lethbridge,TALENTED HOMICIDE,6,0.99,9.99,PG
53,2005-05-25 07:19:16,2005-05-27 05:19:16,GARDINER,1,Lethbridge,ELEPHANT TROJAN,4,4.99,24.99,PG-13
54,2005-05-25 07:23:25,2005-06-01 05:05:25,HOLT,1,Lethbridge,MUSKETEERS WAIT,7,4.99,17.99,PG
55,2005-05-25 08:26:13,2005-05-30 10:57:13,HICKS,2,Woodridge,DREAM PICKUP,6,2.99,18.99,PG
56,2005-05-25 08:28:11,2005-05-26 14:21:11,BENNER,2,Woodridge,EYES DRIVING,4,2.99,13.99,PG-13
57,2005-05-25 08:43:32,2005-05-29 06:42:32,DAVIS,2,Woodridge,SUBMARINE BED,5,4.99,21.99,R
58,2005-05-25 08:53:14,2005-05-28 14:40:14,MAHAN,1,Lethbridge,PELICAN COMFORTS,4,4.99,17.99,PG
59,2005-05-25 08:56:42,2005-06-01 09:52:42,MURRELL,2,Woodridge,OCTOBER SUBMARINE,6,4.99,10.99,PG-13
60,2005-05-25 08:58:25,2005-05-30 14:14:25,ALLARD,2,Woodridge,BINGO TALENTED,5,2.99,22.99,PG-13
61,2005-05-25 09:01:57,2005-06-02 07:22:57,FOWLER,1,Lethbridge,TRUMAN CRAZY,7,4.99,9.99,G
62,2005-05-25 09:18:52,2005-05-30 10:55:52,CARBONE,2,Woodridge,BEACH HEARTBREAKERS,6,2.99,16.99,G
63,2005-05-25 09:19:16,2005-05-27 04:24:16,BALES,1,Lethbridge,SWEETHEARTS SUSPECTS,3,0.99,13.99,G
64,2005-05-25 09:21:29,2005-06-03 11:31:29,ARCE,2,Woodridge,ALLEY EVOLUTION,6,2.99,23.99,NC-17
65,2005-05-25 09:32:03,2005-05-29 14:21:03,SIMPKINS,2,Woodridge,SECRET GROUNDHOG,6,4.99,11.99,PG
66,2005-05-25 09:35:12,2005-05-29 04:16:12,LONG,2,Woodridge,DRUMLINE CYCLONE,3,0.99,14.99,G
67,2005-05-25 09:41:01,2005-05-27 13:46:01,MARSHALL,1,Lethbridge,BANGER PINOCCHIO,5,0.99,15.99,R
68,2005-05-25 09:47:31,2005-05-31 10:20:31,ORTIZ,2,Woodridge,TEEN APOLLO,3,4.99,25.99,G
69,2005-05-25 10:10:14,2005-05-27 14:02:14,MCCRARY,1,Lethbridge,PURPLE MOVIE,4,2.99,9.99,R
70,2005-05-25 10:15:23,2005-05-27 05:56:23,BROOKS,1,Lethbridge,INVASION CYCLONE,5,2.99,12.99,PG
71,2005-05-25 10:26:39,2005-05-28 04:59:39,HAYES,2,Woodridge,LOATHING LEGALLY,4,0.99,29.99,R
72,2005-05-25 10:52:13,2005-05-28 05:52:13,EVANS,1,Lethbridge,JUGGLER HARDLY,4,0.99,14.99,PG-13
73,2005-05-25 11:00:07,2005-06-01 13:56:07,GAMEZ,2,Woodridge,CAMELOT VACATION,3,0.99,26.99,NC-17
74,2005-05-25 11:09:48,2005-05-26 12:23:48,TERRY,2,Woodridge,GREEDY ROOTS,7,0.99,14.99,R
75,2005-05-25 11:13:34,2005-06-03 12:58:34,EASTER,1,Lethbridge,ROSES TREASURE,5,4.99,23.99,PG-13
76,2005-05-25 11:30:37,2005-06-03 12:00:37,SMITH,2,Woodridge,PATIENT SISTER,7,0.99,29.99,NC-17
77,2005-05-25 11:31:59,2005-05-26 16:53:59,REA,2,Woodridge,ENTRAPMENT SATISFACTION,5,0.99,19.99,R
78,2005-05-25 11:35:18,2005-05-31 12:48:18,MASON,1,Lethbridge,THIEF PELICAN,5,4.99,28.99,PG-13
79,2005-05-25 12:11:07,2005-06-03 10:54:07,DAY,2,Woodridge,RESERVOIR ADAPTATION,7,2.99,29.99,PG-13
80,2005-05-25 12:12:07,2005-05-31 17:46:07,LINTON,1,Lethbridge,MADIGAN DORADO,5,4.99,20.99,R
81,2005-05-25 12:15:19,2005-06-02 14:08:19,LUCAS,2,Woodridge,METROPOLIS COMA,4,2.99,9.99,PG-13
82,2005-05-25 12:17:46,2005-06-01 10:48:46,MCCARTNEY,2,Woodridge,FARGO GANDHI,3,2.99,28.99,G
83,2005-05-25 12:30:15,2005-05-27 15:40:15,HICKS,1,Lethbridge,BUCKET BROTHERHOOD,7,4.99,27.99,PG
84,2005-05-25 12:36:30,2005-05-29 18:33:30,KRAUS,2,Woodridge,HANKY OCTOBER,5,2.99,26.99,NC-17
85,2005-05-25 13:05:34,2005-05-29 16:53:34,RALSTON,2,Woodridge,BUCKET BROTHERHOOD,7,4.99,27.99,PG
86,2005-05-25 13:36:12,2005-05-30 14:53:12,HERRERA,2,Woodridge,JUMPING WRATH,4,0.99,18.99,NC-17
87,2005-05-25 13:52:43,2005-05-29 11:12:43,ROBERT,2,Woodridge,GANDHI KWAI,7,0.99,9.99,PG-13
88,2005-05-25 14:13:54,2005-05-29 09:32:54,MORRIS,2,Woodridge,JEEPERS WEDDING,3,2.99,29.99,R
89,2005-05-25 14:28:29,2005-05-29 14:33:29,OUTLAW,2,Woodridge,ISLAND EXORCIST,7,2.99,23.99,NC-17
90,2005-05-25 14:31:25,2005-06-01 10:07:25,WALKER,2,Woodridge,PANKY SUBMARINE,4,4.99,19.99,G
91,2005-05-25 14:57:22,2005-06-01 18:32:22,WADE,1,Lethbridge,ANTHEM LUKE,5,4.99,16.99,PG-13
92,2005-05-25 15:38:46,2005-05-31 13:40:46,SILVERMAN,2,Woodridge,COMFORTS RUSH,3,2.99,19.99,NC-17
93,2005-05-25 15:54:16,2005-06-03 20:18:16,CRAIG,1,Lethbridge,VOYAGE LEGALLY,6,0.99,28.99,PG-13
94,2005-05-25 16:03:42,2005-05-30 14:23:42,PETERS,1,Lethbridge,GOLDFINGER SENSIBILITY,3,0.99,29.99,G
95,2005-05-25 16:12:52,2005-06-02 18:55:52,HARDISON,2,Woodridge,ARMAGEDDON LOST,5,0.99,10.99,G
96,2005-05-25 16:32:19,2005-05-30 10:47:19,EDWARDS,2,Woodridge,RUGRATS SHAKESPEARE,4,0.99,16.99,PG-13
97,2005-05-25 16:34:24,2005-05-28 12:13:24,HOPKINS,1,Lethbridge,ENEMY ODDS,5,4.99,23.99,NC-17
98,2005-05-25 16:48:24,2005-05-27 11:29:24,WALTERS,1,Lethbridge,PACKER MADIGAN,3,0.99,20.99,PG-13
99,2005-05-25 16:50:20,2005-05-28 18:52:20,TURNER,1,Lethbridge,CANDLES GRAPES,6,4.99,15.99,NC-17
100,2005-05-25 16:50:28,2005-06-02 22:11:28,WHEELER,1,Lethbridge,METAL ARMAGEDDON,6,2.99,26.99,PG-13
101,2005-05-25 17:17:04,2005-05-31 19:47:04,CARY,2,Woodridge,CHAMPION FLATLINERS,4,4.99,21.99,PG
102,2005-05-25 17:22:10,2005-05-31 19:47:10,GRAF,1,Lethbridge,BLOOD ARGONAUTS,3,0.99,13.99,G
103,2005-05-25 17:30:42,2005-06-03 22:36:42,STEPP,1,Lethbridge,ROBBERS JOON,7,2.99,26.99,PG-13
104,2005-05-25 17:46:33,2005-05-27 15:20:33,CABRAL,1,Lethbridge,VALLEY PACKER,3,0.99,21.99,G
105,2005-05-25 17:54:12,2005-05-30 12:03:12,COLE,2,Woodridge,CONFESSIONS MAGUIRE,7,4.99,25.99,PG-13
106,2005-05-25 18:18:19,2005-06-04 00:01:19,AUSTIN,2,Woodridge,SHOW LORD,3,4.99,24.99,PG-13
107,2005-05-25 18:28:09,2005-06-03 22:46:09,BAUGH,2,Woodridge,NETWORK PEAK,5,2.99,23.99,PG-13
108,2005-05-25 18:30:05,2005-05-30 19:40:05,FRAZIER,2,Woodridge,REMEMBER DIARY,5,2.99,15.99,R
109,2005-05-25 18:40:20,2005-05-29 20:39:20,BARCLAY,1,Lethbridge,DISCIPLE MOTHER,3,0.99,17.99,PG
110,2005-05-25 18:43:49,2005-06-03 18:13:49,MARTINEZ,2,Woodridge,TITANS JERK,4,4.99,11.99,PG
111,2005-05-25 18:45:19,2005-05-28 17:18:19,BURTON,2,Woodridge,SNATCH SLIPPER,6,4.99,15.99,PG
112,2005-05-25 18:57:24,2005-06-02 20:44:24,KINDER,2,Woodridge,INTERVIEW LIAISONS,4,4.99,17.99,R
113,2005-05-25 19:07:40,2005-05-27 22:16:40,FOSTER,2,Woodridge,OZ LIAISONS,4,2.99,14.99,R
114,2005-05-25 19:12:42,2005-06-01 23:10:42,SEWARD,2,Woodridge,WOMEN DORADO,4,0.99,23.99,R
115,2005-05-25 19:13:25,2005-05-29 20:17:25,WILES,1,Lethbridge,COAST RAINBOW,4,0.99,20.99,PG
116,2005-05-25 19:27:51,2005-05-26 16:23:51,GARCIA,1,Lethbridge,WIFE TURN,3,4.99,27.99,NC-17
117,2005-05-25 19:30:46,2005-05-31 23:59:46,MILLER,2,Woodridge,VALENTINE VANISHING,7,0.99,9.99,PG-13
118,2005-05-25 19:31:18,2005-05-31 15:00:18,ELY,2,Woodridge,CROOKED FROGMEN,6,0.99,27.99,PG-13
119,2005-05-25 19:37:02,2005-05-29 23:51:02,STEWART,1,Lethbridge,FALCON VOLUME,5,4.99,21.99,PG-13
120,2005-05-25 19:37:47,2005-06-01 23:29:47,SCHWARZ,2,Woodridge,AIRPORT POLLOCK,6,4.99,15.99,R
